4,4,0,0,14,1,7,38,2
412,4,1,0,14,1,7,38,2
816,4,2,0,14,1,7,38,2
1222,4,3,0,14,1,7,38,2
1618,4,4,0,14,1,7,38,2
2024,4,5,0,14,1,7,38,2
2423,4,6,0,14,1,7,38,2
2833,4,7,0,14,1,7,38,2
3244,4,8,0,15,1,7,38,2
3655,4,9,0,15,1,7,38,2
4060,4,10,0,15,1,7,38,2
4470,4,11,0,15,1,7,38,2
4875,4,12,0,15,1,7,38,2
5273,4,13,0,15,1,7,38,2
5672,4,14,0,15,1,7,38,2
6058,4,15,0,15,1,7,38,2
6432,4,16,0,15,1,7,38,2
6803,4,17,0,15,1,7,112,2
7157,4,18,0,15,1,7,112,2
7502,4,19,0,15,1,7,112,2
22358,4,86,0,15,1,7,38,2
22754,4,87,0,15,1,7,38,2
23153,4,88,0,15,1,7,38,2
23559,4,89,0,15,1,7,112,2
23988,4,90,0,15,1,7,112,2
25722,4,94,0,15,1,7,112,2
26165,4,95,0,15,1,7,112,2
50255,4,147,0,15,1,7,112,2
50721,4,148,0,15,1,7,112,2
51168,4,149,0,15,1,7,38,2
51591,4,150,0,15,1,7,38,2
51999,4,151,0,15,1,7,38,2
52397,4,152,0,15,1,7,44,2
52772,4,153,0,15,1,7,44,2
53129,4,154,0,15,1,7,44,2
53465,4,155,0,15,1,7,44,2
53774,4,156,0,15,1,7,44,2
54062,4,157,0,15,1,7,44,2
54330,4,158,0,15,1,7,44,2
54587,4,159,0,16,1,7,44,2
54826,4,160,0,16,1,7,38,2
55057,4,161,0,16,1,7,38,2
55266,4,162,0,16,1,7,38,2
55467,4,163,0,16,1,7,38,2
55655,4,164,0,16,1,7,38,2
55842,4,165,0,16,1,7,38,2
56019,4,166,0,16,1,7,38,2
56190,4,167,0,16,1,7,44,2
56349,4,168,0,16,1,7,44,2
82948,4,281,0,16,1,7,44,2
83526,4,282,0,16,1,7,44,2
84103,4,283,0,16,1,7,44,2
84681,4,284,0,16,1,7,44,2
85263,4,285,0,16,1,7,44,2
85829,4,286,0,16,1,7,44,2
86378,4,287,0,16,1,7,44,2
86927,4,288,0,16,1,7,44,2
87461,4,289,0,17,1,7,44,2
87980,4,290,0,17,1,7,59,2
88484,4,291,0,17,1,7,150,2
88982,4,292,0,17,1,7,150,2
89456,4,293,0,17,1,7,150,2
118368,4,422,0,17,1,7,59,2
118941,4,423,0,17,1,7,59,2
119513,4,424,0,17,1,7,59,2
120095,4,425,0,17,1,7,150,2
120679,4,426,0,17,1,7,44,2
121264,4,427,0,17,1,7,44,2
121835,4,428,0,17,1,7,44,2
122393,4,429,0,17,1,7,44,2
122944,4,430,0,17,1,7,44,2
238222,4,991,0,17,1,7,44,2
2891491,4,11521,0,17,1,7,44,2
2891918,4,11522,0,17,1,7,44,2
2892305,4,11523,0,17,1,7,44,2
2893331,4,11526,0,17,1,7,44,2
